item,value,notes
Primary role,,Example: A1 / A2 / V1 / RF / Comms
Home market,,City / region
Target day rate,,Your normal quote
Minimum acceptable rate,,Use intentionally, not automatically
Walk-away rate,,Below this, decline unless there is a strategic reason
Standard day length,,Example: 10 hours
Overtime starts after,,Confirm client policy before booking
Overtime rate,,Example structure only: 1.5x effective hourly rate
Travel time policy,,Paid / unpaid / case-by-case
Parking policy,,Client-provided or reimbursed
Per diem policy,,If applicable
Gear rate,,Only when providing your own equipment
Cancellation policy,,Write it down before you need it
Invoice terms,,Example: Net 15 / Net 30
Payment methods,,ACH / check / card / other
Portfolio or resume URL,,One link that is easy to send
